,2015
United Kingdom,489
Italy,378
Germany,339
France,206
Netherlands,197
Spain,197
Switzerland,124
Belgium,115
Israel,108
Finland,99
Sweden,91
Denmark,86
Austria,57
Portugal,54
Ireland,50
Poland,49
Norway,39
Greece,38
Czech Republic,28
Turkey,28
Hungary,22
Romania,20
Slovenia,9
Cyprus,7
Croatia,5
Slovakia,4
Bulgaria,3
Serbia,3
Ukraine,3
Iceland,3
Estonia,2
Lv,2
Malta,2
Mk,2
Ba,1
Luxembourg,1
Lithuania,1
