,2015
United Kingdom,64
Germany,37
France,33
Spain,33
Netherlands,31
Israel,27
Italy,21
Belgium,21
Sweden,16
Switzerland,15
Austria,5
Portugal,4
Denmark,4
Ireland,4
Greece,4
Finland,3
Cyprus,2
Hungary,2
Estonia,1
Poland,1
Turkey,1
