,2015
United Kingdom,371
Italy,217
France,215
Germany,193
Spain,156
Netherlands,118
Switzerland,91
Sweden,65
Belgium,64
Austria,54
Israel,53
Finland,42
Denmark,38
Ireland,35
Norway,34
Poland,33
Greece,29
Portugal,23
Czech Republic,14
Ukraine,14
Hungary,12
Romania,11
Turkey,9
Slovenia,7
Estonia,6
Bulgaria,5
Lithuania,4
Serbia,3
Lv,3
Croatia,2
Cyprus,2
Luxembourg,1
Slovakia,1
Iceland,1
Mk,1
