,2015
United Kingdom,358
Germany,242
France,222
Italy,212
Spain,169
Netherlands,109
Switzerland,93
Sweden,70
Israel,63
Denmark,61
Finland,59
Belgium,51
Portugal,39
Norway,37
Austria,33
Ireland,33
Poland,32
Greece,28
Turkey,23
Czech Republic,17
Romania,16
Hungary,13
Cyprus,7
Luxembourg,7
Lithuania,7
Serbia,5
Croatia,4
Estonia,4
Bulgaria,3
Slovakia,3
Slovenia,1
Ba,1
Malta,1
