,2015
United Kingdom,28
Spain,23
Netherlands,18
Germany,17
France,13
Israel,10
Belgium,9
Switzerland,9
Sweden,8
Italy,8
Austria,4
Portugal,4
Denmark,3
Greece,2
Finland,1
Poland,1
Ireland,1
Cyprus,1
